gauge_id,num_dams,res_store_sum,n_dams,first_dam_year,last_dam_year,total_storage,reservoir_index,irrigation_frac,hydroelec_frac,drinking_frac,flood_frac,overflow_frac,navigation_frac,tailing_frac,pop_density_2000,pop_density_2005,pop_density_2010,pop_density_2015,pop_density_2020,urban_frac_1985,urban_frac_1995,urban_frac_2005,crops_frac_1985,crops_frac_1995,crops_frac_2005
4027,2,0,2,1965,1994,2299660000,,0.25,0.25,0,0,0,0,0,113.4530745,107.4829324,96.30483104,96.72904081,94.86168113,0.000816131,0.003514162,0.003677388,0.050931349,0.04600096,0.049726356
4028,1,0,3,1930,1968,78140000,0.179472921,1,0,0,0,0,0,0,279.3878978,279.8550686,291.9706894,299.1520842,307.6874827,0.001995818,0.004751948,0.004710369,0.793771384,0.798398593,0.800839907
4029,0,0,0,,,0,,,,,,,,,116.6923097,121.5123562,129.1836396,125.2759239,124.2690975,0.001478964,0.004235804,0.014011235,0.251170846,0.225438175,0.225334389
4030,14,0,27,1966,2002,869712933,0.750239343,0.964285714,0,0,0.035714286,0,0,0,179.571946,196.5086259,225.6470503,247.1012871,276.1536452,0.002841754,0.004755685,0.005169637,0.858515389,0.862688211,0.859722748
4031,57,0,59,1888,2005,8822265545,1.470753419,0.805555556,0.041666667,0.013888889,0.027777778,0,0.027777778,0,215.038502,226.5683177,238.7707032,251.6579546,265.5431096,0.002028322,0.003431398,0.007525534,0.708381147,0.700206551,0.707348855
4032,1,0,1,1964,1964,23040000,0.006038014,1,0,0,0,0,0,0,240.6397056,252.8068127,264.8756066,276.9945669,289.6404924,0.002941053,0.005078957,0.019264087,0.787890435,0.782874583,0.777455244
4033,24,0,25,1880,2007,2766069850,,0.709677419,0.129032258,0,0,0,0,0,1580.426259,1798.744794,2053.97174,2343.288139,2678.939253,0.03710736,0.108413636,0.111395248,0.428722992,0.414136869,0.411875965
4034,37,0,45,1962,2014,1894353841,1.383196274,0.906976744,0.046511628,0,0,0,0,0,344.1019368,370.5448034,395.8781746,420.2645901,445.6402177,0.001649203,0.008910664,0.009661497,0.746550039,0.741440285,0.760538321
4035,0,0,0,,,0,,,,,,,,,351.256452,365.3097582,385.3086392,404.1778937,425.0191628,0.003288544,0.005728911,0.009404342,0.862997188,0.862759103,0.859143193
4036,521,10503.78,706,1871,2014,57616853803,,0.891420912,0.053619303,0.002680965,0.00536193,0.001340483,0.004021448,0.001340483,249.4615709,267.5006594,287.0014929,308.4741123,331.9392561,0.003014907,0.006253652,0.0081997,0.746402284,0.748753131,0.752360753
4037,26,0,31,1872,2006,102428000,,1,0,0,0,0,0,0,230.5111934,240.4124849,253.2394902,260.7955952,268.9398063,0.000628519,0.002183449,0.002186723,0.793655886,0.774718476,0.774181616
4038,112,0,139,1879,2013,11199665517,3.497089699,0.841059603,0.099337748,0,0,0,0,0,380.656425,428.6459149,482.7619054,544.9268723,615.9620369,0.005588447,0.016000885,0.017727217,0.67100581,0.700616832,0.69691053
4039,0,0,0,,,0,0,,,,,,,,370.1354361,405.749231,418.4266333,445.3578648,463.2955135,0.004838507,0.007755132,0.015387934,0.967701435,0.904781527,0.941355233
4040,30,0,32,1888,2005,7454875545,1.451182104,0.756097561,0.073170732,0.024390244,0.024390244,0,0.024390244,0,229.9821294,242.0452993,254.3685395,268.8155319,283.855995,0.002420513,0.004714503,0.010113437,0.666224638,0.662541903,0.659604452
4041,0,0,2,1928,1928,76418000,0.234960512,1,0,0,0,0,0,0,241.8054701,250.8427986,262.2260912,269.4184609,279.6554171,0.00325132,0.004778516,0.005112088,0.875802783,0.856226539,0.86390271
4042,41,0,42,1880,2008,4109239850,,0.692307692,0.192307692,0,0,0,0,0,846.2249905,967.2562263,1107.109326,1264.241226,1444.686215,0.017963172,0.052698154,0.054399642,0.561555007,0.572005405,0.567323115
4043,455,0,611,1871,2014,30653582241,,0.899529042,0.054945055,0.001569859,0.003139717,0.001569859,0.001569859,0.001569859,277.9029716,299.9683396,323.8866985,350.5206744,379.7168382,0.003482892,0.008037448,0.009184437,0.788115953,0.795487997,0.795333662
4044,10,0,9,1916,2008,1274395000,0.860206637,0.5,0.5,0,0,0,0,0,322.8012383,379.7072508,433.3411998,492.7398751,566.2929371,0.005623515,0.015673072,0.016152061,0.583196699,0.579613493,0.5725438
4045,0,0,4,1902,1930,126484200,,1,0,0,0,0,0,0,274.1511054,288.9059138,298.5785959,313.010413,327.2847334,0.004875033,0.00948037,0.010861971,0.700017507,0.697653329,0.698489229
4046,525,1983,738,1871,2014,59928633239,,0.893453145,0.051347882,0.002567394,0.005134788,0.001283697,0.003851091,0.001283697,273.8089628,293.2534587,314.2958591,337.9853952,364.2245025,0.005267542,0.008490681,0.012664237,0.73984095,0.739766595,0.741938027
4047,13,0,14,1923,2004,177028000,0.045155226,0.8125,0.125,0,0,0,0,0,359.2183665,396.2163,418.2040439,448.9902454,470.7665619,0,0.002809681,0.002809681,0.685030453,0.703911508,0.688626844
4048,11,0,13,1971,2012,124752034,0.039568551,0.928571429,0.071428571,0,0,0,0,0,311.1137295,335.6649256,338.711359,371.2638074,384.7527367,0.001070632,0.002480134,0.002499779,0.626427919,0.626413185,0.623952696
4049,32,0,41,1927,2013,1511154970,1.33087666,0.88372093,0.069767442,0,0,0,0,0,220.2513261,238.4983186,261.2999607,289.531261,317.7525044,0.001340255,0.002622427,0.00445348,0.6675108,0.699951356,0.696948488
4050,2,0,2,1979,2005,96969763.78,0.004437829,0.5,0.25,0,0,0,0,0,159.7418301,167.0043304,176.8173117,180.6377575,183.8570039,0.003802705,0.008463621,0.017081649,0.232492836,0.210297825,0.209234935
4051,7,0,8,1973,1995,41328000,1.929100515,1,0,0,0,0,0,0,114.6556894,125.8798896,131.292425,136.7294591,147.3497686,0,0,0,0.874170466,0.881082572,0.879313982
4052,518,0,692,1871,2014,45935221483,,0.890560876,0.053351573,0.002735978,0.005471956,0.001367989,0.004103967,0.001367989,254.3900669,272.8446328,292.721147,314.6580695,338.5676041,0.003071451,0.006429292,0.008441196,0.752538164,0.755324072,0.758828858
4053,0,0,1,,,14420000,,1,0,0,0,0,0,0,197.4459126,211.1419862,235.2563649,253.144488,275.088099,0.002943094,0.002943094,0.003157462,0.902953813,0.902927017,0.903043133
4054,167,0,202,1879,2013,11889960397,3.638496868,0.88372093,0.069767442,0,0,0,0,0,313.8084177,348.8542972,388.6040314,433.9659606,484.7591446,0.004060068,0.011364119,0.012767337,0.717466643,0.74065013,0.737911259
4055,0,0,0,,,0,0,,,,,,,,148.6621206,161.0293644,182.9548257,176.6906741,184.6048021,0.000444773,0.000909948,0.001089489,0.910294652,0.917149864,0.932786277
4056,21,0,25,1883,2014,1590533000,0.330523344,0.827586207,0.103448276,0,0,0,0,0,690.5473071,708.1626167,749.8769394,767.2994273,810.0789203,0.016807605,0.030193085,0.030237529,0.535334354,0.5287204,0.527847697
4057,25,0,24,1892,1987,1346770000,1.616815398,0.857142857,0,0,0.035714286,0,0.035714286,0,196.4253695,205.0551954,214.6467519,223.5703051,233.8097986,0.000996752,0.001424052,0.00456915,0.708782245,0.694963527,0.714454761
4058,27,0,29,1888,2005,6569784055,,0.736842105,0.078947368,0.026315789,0.026315789,0,0.026315789,0,223.6553779,233.9626882,244.7294014,256.3076274,268.1652417,0.002382284,0.004860217,0.009672096,0.664441053,0.660923678,0.6577313
4059,0,0,1,1906,1906,13460000,,1,0,0,0,0,0,0,393.1656157,406.6929767,414.0794248,445.3458603,464.1878903,0.011980915,0.014524602,0.025587381,0.769277081,0.736133897,0.734086907
4060,525,0,738,1871,2014,59928633239,,0.893453145,0.051347882,0.002567394,0.005134788,0.001283697,0.003851091,0.001283697,274.1386279,293.6001697,314.6700506,338.3684912,364.6058013,0.005279418,0.00850247,0.012676183,0.739827148,0.739753027,0.74192413
